item_name,item_api_name,tier,effects
The Tower,TFT_AUGMENT_THETOWER,SILVER,"{""MaxHealthPct"": 0.05000000074505806, ""ZapCount"": 3.0, ""ZapInterval"": 4.0}"
We Stick Together,TFT_AUGMENT_WESTICKTOGETHER,PRISMATIC,"{""ASPercent"": 30.0}"
Clear Mind,TFT6_AUGMENT_CLEARMIND,GOLD,"{""XP"": 3.0}"
Worth the Wait II,TFT_AUGMENT_WORTHTHEWAITPRISMATIC,PRISMATIC,"{""AdditionalCopies"": 99.0, ""Delay"": null, ""InitialCopies"": 2.0, ""UnitTier"": 2.0}"
Misfits,TFT_AUGMENT_MISFITS,GOLD,"{""Health"": 55.0}"
Rolling For Days I,TFT9_AUGMENT_COMMANDER_ROLLINGFORDAYS,SILVER,"{""Numrolls"": 10.0}"
Clockwork Accelerator,TFT_AUGMENT_CLOCKWORKACCELERATOR,GOLD,"{""AttackSpeed"": 0.10000000149011612, ""Frequency"": 3.0}"
Band of Thieves II,TFT6_AUGMENT_BANDOFTHIEVES2,PRISMATIC,"{""DelayTurns"": 6.0, ""NumGloves"": 2.0}"
Build a Bud,TFT11_AUGMENT_BUILDABUD,PRISMATIC,"{""Gold"": 10.0}"
Two Tanky,TFT_AUGMENT_TWOTANKY,GOLD,"{""BonusHealth"": 375.0, ""HealDuration"": 12.0, ""OnDeathPercHeal"": 0.3499999940395355}"
Corrosion,TFT_AUGMENT_CORROSION,SILVER,"{""ResistLoss"": 4.0, ""Time"": 2.0}"
Boxing Lessons,TFT_AUGMENT_BOXINGLESSONS,SILVER,"{""Health"": 30.0}"
Late Game Specialist,TFT7_AUGMENT_LATEGAMESPECIALIST,SILVER,"{""Gold"": 27.0, ""LevelReq"": 9.0}"
Birthday Present,TFT7_AUGMENT_BIRTHDAYPRESENTS,PRISMATIC,"{""Gold"": 1.0}"
Indiscriminate Killer,TFT_AUGMENT_JUSTSLAYER,GOLD,{}
Shimmerscale Essence,TFT_AUGMENT_SHIMMERSCALEESSENCE,PRISMATIC,"{""CombatNum"": 7.0}"
Flowing Tears,TFT_AUGMENT_COMPONENTQUESTTEAR,SILVER,"{""NumDelayed"": 2, ""StacksForReward"": 6500, ""{1ed24481}"": 1}"
Branching Out,TFT_AUGMENT_BRANCHINGOUT,SILVER,"{""NumReforgers"": null, ""Numberofcombats"": null}"
Solo Plate,TFT_AUGMENT_ITEMGARGOYLESTONEPLATE,GOLD,"{""HealthIncrease"": 0.17000000178813934}"
Sweet Treats,TFT_AUGMENT_SWEETTREATS,PRISMATIC,"{""HealthPerItem"": 16.0}"
Subscription Service,TFT_AUGMENT_SUBSCRIPTIONSERVICE,PRISMATIC,"{""ChampionTier"": 4.0, ""GoldPerStage"": 6.0}"
Exiles II,TFT6_AUGMENT_DISTANCING2,GOLD,"{""MaxHealthShield"": 30.0, ""ShieldDuration"": 10.0}"
Band of Thieves II++,TFT6_AUGMENT_BANDOFTHIEVES2PLUSPLUS,PRISMATIC,"{""DelayTurns"": 3.0, ""NumGloves"": 2.0}"
ReinFOURcement,TFT11_AUGMENT_REINFOURCEMENT,GOLD,"{""Gold"": 7.0}"
NO SCOUT NO PIVOT,TFT_AUGMENT_NOSCOUTNOPIVOT,GOLD,"{""ADScale"": 0.009999999776482582, ""APScale"": 1.0, ""HPScale"": 0.009999999776482582, ""MaxUnits"": 99.0, ""{eba92878}"": null}"
Late Game Scaling,TFT_AUGMENT_LATEGAMESCALING,GOLD,"{""AttackSpeed"": 0.11999999731779099, ""BonusHealth"": 0.11999999731779099, ""XPGain"": 2}"
Money Hungry,TFT_AUGMENT_MONEYHUNGRY,GOLD,"{""InstantGold"": 7.0, ""StageGold"": 7.0}"
On a Roll,TFT_AUGMENT_WAVERIDER,SILVER,"{""Gold"": 6, ""Numrolls"": 1.0}"
Malicious Monetization,TFT_AUGMENT_MIRROREDMONETIZATION,GOLD,"{""GoldContained"": 4, ""PercCost"": 2.0, ""rounds"": 2.0}"
Pandora's Items III,TFT9_AUGMENT_PANDORASRADIANTBOX,PRISMATIC,{}
May the Fours Be With You,TFT_AUGMENT_MAYTHEFOURSBEWITHYOU,GOLD,"{""AttackSpeed"": 0.14000000059604645, ""Health"": 144.0}"
Trade Sector,TFT6_AUGMENT_TRADESECTOR,GOLD,"{""Gold"": 2.0, ""RerollCount"": 1.0, ""RerollsNow"": 1.0}"
Pilfer,TFT_AUGMENT_PILFER,GOLD,"{""Gold"": null, ""goldrequired"": 19.0}"
Big Grab Bag,TFT9_AUGMENT_BIGGRABBAG,GOLD,"{""Gold"": 2.0, ""NumItems"": 3.0, ""NumReforgers"": 1.0}"
Prismatic Ticket,TFT6_AUGMENT_GACHAADDICT,PRISMATIC,"{""RerollPercent"": 45.0}"
Carve a Path,TFT_AUGMENT_COMPONENTQUESTSWORD,SILVER,"{""NumDelayed"": 2, ""StacksForReward"": 65000, ""{1ed24481}"": 1}"
Caretaker's Ally,TFT9_AUGMENT_BARDPLAYBOOK1,SILVER,"{""UnitTier"": 2.0}"
Construct a Companion,TFT_AUGMENT_CONSTRUCTACOMPANION,GOLD,"{""Gold"": 2.0}"
Calculated Loss,TFT6_AUGMENT_CALCULATEDLOSS,GOLD,"{""Gold"": 2.0}"
Risky Moves,TFT9_AUGMENT_RISKYMOVES,SILVER,"{""Gold"": 26.0, ""Health"": 20.0, ""PlayerCombatNum"": 7.0}"
New Recruit,TFT6_AUGMENT_FORCEOFNATURE,PRISMATIC,"{""MaxArmySizeIncrease"": 1.0, ""NumUnits"": 1, ""{4a99a5b2}"": null}"
Soul Awakening,TFT_AUGMENT_AWAKENEDSOUL,PRISMATIC,"{""BonusTrueDamage"": 0.11999999731779099, ""MaxStacks"": 10.0, ""StatsPerSecond"": 1.5}"
Band of Thieves,TFT7_AUGMENT_BANDOFTHIEVES1,SILVER,"{""NumGloves"": 1.0}"
Slice of Life,TFT_AUGMENT_SLICEOFLIFE,SILVER,"{""Max5Costs"": 1, ""{5ca21683}"": 4, ""{8422d0b8}"": 3, ""{8c017039}"": 2, ""{a562cde4}"": 1, ""{ab8c0482}"": 5, ""{b0e84f56}"": 1, ""{d867370f}"": 1, ""{e46f7955}"": 1}"
Jeweled Lotus II,TFT9_AUGMENT_GREATERJEWELEDLOTUS,PRISMATIC,"{""CritChance"": 25.0, ""CritDamage"": 0.10000000149011612}"
Money Monsoon,TFT_AUGMENT_MONEYMONSOON,PRISMATIC,"{""RoundGold"": 7.0}"
Living Forge,TFT7_AUGMENT_LIVINGFORGE,PRISMATIC,"{""Numberofcombats"": 9.0}"
Warpath,TFT_AUGMENT_WARPATH,GOLD,"{""PlayerDamage"": 80.0, ""{16253d09}"": null, ""{3dc22ab3}"": 3.0, ""{68c537b7}"": null, ""{6cf88c79}"": 1.0, ""{7c96bf44}"": 2}"
Blood Offering,TFT_AUGMENT_THEDARKINBLADE,GOLD,"{""BonusAD"": 0.11999999731779099, ""HPLossPercent"": 0.15000000596046448, ""HPShieldPercent"": 0.20000000298023224, ""ShieldDuration"": 60.0}"
Mace's Will,TFT_AUGMENT_GUARDBREAKERSPIRIT,GOLD,"{""AS"": null, ""CritChance"": 0.25}"
Legion of Threes,TFT_AUGMENT_LEGIONOFTHREES,GOLD,"{""AS"": 0.11999999731779099, ""HealthAmount"": 150.0}"
Gain @Gold@ Gold,TFT_AUGMENT_GAINGOLD,GOLD,"{""Gold"": 21.0}"
Size Matters,TFT_AUGMENT_SIZEMATTERS,SILVER,"{""HealthRequired"": null}"
Tons of Stats!,TFT9_AUGMENT_TONSOFSTATS,GOLD,"{""AbilityPower"": 4.0, ""Armor"": 4.0, ""AttackDamage"": 4.0, ""AttackSpeed"": 4.0, ""Health"": 44.0, ""MR"": 4.0, ""Mana"": 4.0}"
Booster Pack++,TFT_AUGMENT_BOOSTERPACKPLUSPLUS,GOLD,"{""GuaranteedCost"": 5.0, ""TotalValue"": 26.0}"
Tiniest Titan,TFT9_AUGMENT_TINIESTTITANPLUS,PRISMATIC,"{""Gold"": 2.0, ""Heal"": 2.0, ""InitialGold"": 10.0}"
Booster Pack+,TFT_AUGMENT_BOOSTERPACKPLUS,GOLD,"{""GuaranteedCost"": 4.0, ""TotalValue"": 18.0}"
Partial Ascension,TFT9_AUGMENT_COMMANDER_PARTIALASCENSION,SILVER,"{""DamageAmp"": 20.0, ""Delay"": 12.0}"
Epoch,TFT11_AUGMENT_EPOCH,GOLD,"{""Rerolls"": 2.0, ""XP"": 4.0}"
Healing Orbs II,TFT9_AUGMENT_HEALINGORBSII,GOLD,"{""Heal"": 575.0}"
Pandora's Items,TFT6_AUGMENT_PANDORASITEMS,SILVER,"{""NumComponents"": 1.0}"
Portable Forge,TFT6_AUGMENT_PORTABLEFORGE,GOLD,"{""ArmoryChoiceCount"": 4.0}"
Cognitive Overload,TFT_AUGMENT_COGNITIVEOVERLOAD,GOLD,"{""FreeRolls"": 1.0, ""Gold"": 7.0, ""OneCostCount"": 1.0, ""ThreeCostCount"": 2.0, ""TwoCostCount"": 1.0, ""XP"": 1.0}"
Kick Start,TFT_AUGMENT_KICKSTART,SILVER,"{""Gold"": 1}"
Latent Forge,TFT9_AUGMENT_LONGTIMECRAFTING,SILVER,"{""Numberofcombats"": 8.0}"
Comeback Story,TFT_AUGMENT_COMEBACKSTORY,PRISMATIC,"{""ASPerMissingHP"": 0.4000000059604645, ""HPPerMissingHP"": 4.0}"
Cybernetic Uplink,TFT6_AUGMENT_CYBERNETICUPLINK2,GOLD,"{""Health"": 100.0, ""ManaRegen"": 2.0}"
Deadlier Blades,TFT_AUGMENT_TRAGICALBLADE,PRISMATIC,"{""AD"": null, ""TakeDowns"": null}"
Shopping Spree,TFT9_AUGMENT_LEGEND_HIGHENDSECTOR,PRISMATIC,"{""BonusRollPerLevel"": 1, ""Gold"": 2.0, ""{a9ad6d1b}"": 8.0}"
